run	cond_name	cond_num
1	NoGo	1
1	Go	2
1	ToM	3
1	VideoAct	4
1	VideoKnots	5
1	UnpleasantScenes	6
1	PleasantScenes	7
1	Math	8
1	DigitJudgement	9
1	CheckerBoard	10
1	SadFaces	11
1	HappyFaces	12
1	IntervalTiming	13
1	MotorImagery	14
1	FingerSimple	15
1	FingerSeq	16
1	Verbal0Back	17
1	Verbal2Back	18
1	Object0Back	19
1	Object2Back	20
1	SpatialNavigation	21
1	StroopIncon	22
1	StroopCon	23
1	VerbGen	24
1	WordRead	25
1	VisualSearchSmall	26
1	VisualSearchMed	27
1	VisualSearchLarge	28
1	rest	29
2	NoGo	1
2	Go	2
2	ToM	3
2	VideoAct	4
2	VideoKnots	5
2	UnpleasantScenes	6
2	PleasantScenes	7
2	Math	8
2	DigitJudgement	9
2	CheckerBoard	10
2	SadFaces	11
2	HappyFaces	12
2	IntervalTiming	13
2	MotorImagery	14
2	FingerSimple	15
2	FingerSeq	16
2	Verbal0Back	17
2	Verbal2Back	18
2	Object0Back	19
2	Object2Back	20
2	SpatialNavigation	21
2	StroopIncon	22
2	StroopCon	23
2	VerbGen	24
2	WordRead	25
2	VisualSearchSmall	26
2	VisualSearchMed	27
2	VisualSearchLarge	28
2	rest	29
3	NoGo	1
3	Go	2
3	ToM	3
3	VideoAct	4
3	VideoKnots	5
3	UnpleasantScenes	6
3	PleasantScenes	7
3	Math	8
3	DigitJudgement	9
3	CheckerBoard	10
3	SadFaces	11
3	HappyFaces	12
3	IntervalTiming	13
3	MotorImagery	14
3	FingerSimple	15
3	FingerSeq	16
3	Verbal0Back	17
3	Verbal2Back	18
3	Object0Back	19
3	Object2Back	20
3	SpatialNavigation	21
3	StroopIncon	22
3	StroopCon	23
3	VerbGen	24
3	WordRead	25
3	VisualSearchSmall	26
3	VisualSearchMed	27
3	VisualSearchLarge	28
3	rest	29
4	NoGo	1
4	Go	2
4	ToM	3
4	VideoAct	4
4	VideoKnots	5
4	UnpleasantScenes	6
4	PleasantScenes	7
4	Math	8
4	DigitJudgement	9
4	CheckerBoard	10
4	SadFaces	11
4	HappyFaces	12
4	IntervalTiming	13
4	MotorImagery	14
4	FingerSimple	15
4	FingerSeq	16
4	Verbal0Back	17
4	Verbal2Back	18
4	Object0Back	19
4	Object2Back	20
4	SpatialNavigation	21
4	StroopIncon	22
4	StroopCon	23
4	VerbGen	24
4	WordRead	25
4	VisualSearchSmall	26
4	VisualSearchMed	27
4	VisualSearchLarge	28
4	rest	29
5	NoGo	1
5	Go	2
5	ToM	3
5	VideoAct	4
5	VideoKnots	5
5	UnpleasantScenes	6
5	PleasantScenes	7
5	Math	8
5	DigitJudgement	9
5	CheckerBoard	10
5	SadFaces	11
5	HappyFaces	12
5	IntervalTiming	13
5	MotorImagery	14
5	FingerSimple	15
5	FingerSeq	16
5	Verbal0Back	17
5	Verbal2Back	18
5	Object0Back	19
5	Object2Back	20
5	SpatialNavigation	21
5	StroopIncon	22
5	StroopCon	23
5	VerbGen	24
5	WordRead	25
5	VisualSearchSmall	26
5	VisualSearchMed	27
5	VisualSearchLarge	28
5	rest	29
6	NoGo	1
6	Go	2
6	ToM	3
6	VideoAct	4
6	VideoKnots	5
6	UnpleasantScenes	6
6	PleasantScenes	7
6	Math	8
6	DigitJudgement	9
6	CheckerBoard	10
6	SadFaces	11
6	HappyFaces	12
6	IntervalTiming	13
6	MotorImagery	14
6	FingerSimple	15
6	FingerSeq	16
6	Verbal0Back	17
6	Verbal2Back	18
6	Object0Back	19
6	Object2Back	20
6	SpatialNavigation	21
6	StroopIncon	22
6	StroopCon	23
6	VerbGen	24
6	WordRead	25
6	VisualSearchSmall	26
6	VisualSearchMed	27
6	VisualSearchLarge	28
6	rest	29
7	NoGo	1
7	Go	2
7	ToM	3
7	VideoAct	4
7	VideoKnots	5
7	UnpleasantScenes	6
7	PleasantScenes	7
7	Math	8
7	DigitJudgement	9
7	CheckerBoard	10
7	SadFaces	11
7	HappyFaces	12
7	IntervalTiming	13
7	MotorImagery	14
7	FingerSimple	15
7	FingerSeq	16
7	Verbal0Back	17
7	Verbal2Back	18
7	Object0Back	19
7	Object2Back	20
7	SpatialNavigation	21
7	StroopIncon	22
7	StroopCon	23
7	VerbGen	24
7	WordRead	25
7	VisualSearchSmall	26
7	VisualSearchMed	27
7	VisualSearchLarge	28
7	rest	29
8	NoGo	1
8	Go	2
8	ToM	3
8	VideoAct	4
8	VideoKnots	5
8	UnpleasantScenes	6
8	PleasantScenes	7
8	Math	8
8	DigitJudgement	9
8	CheckerBoard	10
8	SadFaces	11
8	HappyFaces	12
8	IntervalTiming	13
8	MotorImagery	14
8	FingerSimple	15
8	FingerSeq	16
8	Verbal0Back	17
8	Verbal2Back	18
8	Object0Back	19
8	Object2Back	20
8	SpatialNavigation	21
8	StroopIncon	22
8	StroopCon	23
8	VerbGen	24
8	WordRead	25
8	VisualSearchSmall	26
8	VisualSearchMed	27
8	VisualSearchLarge	28
8	rest	29
9	NoGo	1
9	Go	2
9	ToM	3
9	VideoAct	4
9	VideoKnots	5
9	UnpleasantScenes	6
9	PleasantScenes	7
9	Math	8
9	DigitJudgement	9
9	CheckerBoard	10
9	SadFaces	11
9	HappyFaces	12
9	IntervalTiming	13
9	MotorImagery	14
9	FingerSimple	15
9	FingerSeq	16
9	Verbal0Back	17
9	Verbal2Back	18
9	Object0Back	19
9	Object2Back	20
9	SpatialNavigation	21
9	StroopIncon	22
9	StroopCon	23
9	VerbGen	24
9	WordRead	25
9	VisualSearchSmall	26
9	VisualSearchMed	27
9	VisualSearchLarge	28
9	rest	29
10	NoGo	1
10	Go	2
10	ToM	3
10	VideoAct	4
10	VideoKnots	5
10	UnpleasantScenes	6
10	PleasantScenes	7
10	Math	8
10	DigitJudgement	9
10	CheckerBoard	10
10	SadFaces	11
10	HappyFaces	12
10	IntervalTiming	13
10	MotorImagery	14
10	FingerSimple	15
10	FingerSeq	16
10	Verbal0Back	17
10	Verbal2Back	18
10	Object0Back	19
10	Object2Back	20
10	SpatialNavigation	21
10	StroopIncon	22
10	StroopCon	23
10	VerbGen	24
10	WordRead	25
10	VisualSearchSmall	26
10	VisualSearchMed	27
10	VisualSearchLarge	28
10	rest	29
11	NoGo	1
11	Go	2
11	ToM	3
11	VideoAct	4
11	VideoKnots	5
11	UnpleasantScenes	6
11	PleasantScenes	7
11	Math	8
11	DigitJudgement	9
11	CheckerBoard	10
11	SadFaces	11
11	HappyFaces	12
11	IntervalTiming	13
11	MotorImagery	14
11	FingerSimple	15
11	FingerSeq	16
11	Verbal0Back	17
11	Verbal2Back	18
11	Object0Back	19
11	Object2Back	20
11	SpatialNavigation	21
11	StroopIncon	22
11	StroopCon	23
11	VerbGen	24
11	WordRead	25
11	VisualSearchSmall	26
11	VisualSearchMed	27
11	VisualSearchLarge	28
11	rest	29
12	NoGo	1
12	Go	2
12	ToM	3
12	VideoAct	4
12	VideoKnots	5
12	UnpleasantScenes	6
12	PleasantScenes	7
12	Math	8
12	DigitJudgement	9
12	CheckerBoard	10
12	SadFaces	11
12	HappyFaces	12
12	IntervalTiming	13
12	MotorImagery	14
12	FingerSimple	15
12	FingerSeq	16
12	Verbal0Back	17
12	Verbal2Back	18
12	Object0Back	19
12	Object2Back	20
12	SpatialNavigation	21
12	StroopIncon	22
12	StroopCon	23
12	VerbGen	24
12	WordRead	25
12	VisualSearchSmall	26
12	VisualSearchMed	27
12	VisualSearchLarge	28
12	rest	29
13	NoGo	1
13	Go	2
13	ToM	3
13	VideoAct	4
13	VideoKnots	5
13	UnpleasantScenes	6
13	PleasantScenes	7
13	Math	8
13	DigitJudgement	9
13	CheckerBoard	10
13	SadFaces	11
13	HappyFaces	12
13	IntervalTiming	13
13	MotorImagery	14
13	FingerSimple	15
13	FingerSeq	16
13	Verbal0Back	17
13	Verbal2Back	18
13	Object0Back	19
13	Object2Back	20
13	SpatialNavigation	21
13	StroopIncon	22
13	StroopCon	23
13	VerbGen	24
13	WordRead	25
13	VisualSearchSmall	26
13	VisualSearchMed	27
13	VisualSearchLarge	28
13	rest	29
14	NoGo	1
14	Go	2
14	ToM	3
14	VideoAct	4
14	VideoKnots	5
14	UnpleasantScenes	6
14	PleasantScenes	7
14	Math	8
14	DigitJudgement	9
14	CheckerBoard	10
14	SadFaces	11
14	HappyFaces	12
14	IntervalTiming	13
14	MotorImagery	14
14	FingerSimple	15
14	FingerSeq	16
14	Verbal0Back	17
14	Verbal2Back	18
14	Object0Back	19
14	Object2Back	20
14	SpatialNavigation	21
14	StroopIncon	22
14	StroopCon	23
14	VerbGen	24
14	WordRead	25
14	VisualSearchSmall	26
14	VisualSearchMed	27
14	VisualSearchLarge	28
14	rest	29
15	NoGo	1
15	Go	2
15	ToM	3
15	VideoAct	4
15	VideoKnots	5
15	UnpleasantScenes	6
15	PleasantScenes	7
15	Math	8
15	DigitJudgement	9
15	CheckerBoard	10
15	SadFaces	11
15	HappyFaces	12
15	IntervalTiming	13
15	MotorImagery	14
15	FingerSimple	15
15	FingerSeq	16
15	Verbal0Back	17
15	Verbal2Back	18
15	Object0Back	19
15	Object2Back	20
15	SpatialNavigation	21
15	StroopIncon	22
15	StroopCon	23
15	VerbGen	24
15	WordRead	25
15	VisualSearchSmall	26
15	VisualSearchMed	27
15	VisualSearchLarge	28
15	rest	29
16	NoGo	1
16	Go	2
16	ToM	3
16	VideoAct	4
16	VideoKnots	5
16	UnpleasantScenes	6
16	PleasantScenes	7
16	Math	8
16	DigitJudgement	9
16	CheckerBoard	10
16	SadFaces	11
16	HappyFaces	12
16	IntervalTiming	13
16	MotorImagery	14
16	FingerSimple	15
16	FingerSeq	16
16	Verbal0Back	17
16	Verbal2Back	18
16	Object0Back	19
16	Object2Back	20
16	SpatialNavigation	21
16	StroopIncon	22
16	StroopCon	23
16	VerbGen	24
16	WordRead	25
16	VisualSearchSmall	26
16	VisualSearchMed	27
16	VisualSearchLarge	28
16	rest	29
